course_id,total_components,pct_threshold_hit,components_needed,approx_week,accuracy_at_hit,components_at_threshold,atrisk_pct_threshold_hit,atrisk_approx_week,atrisk_precision_at_hit,atrisk_components,threshold
CS 101,58,10,6,3,0.7998,"Lecture Activity 1, Homework 1, Lab Discussion 1, Lecture Activity 2, Lecture Activity 3, Homework 2",20,4,0.8571,"Lecture Activity 1, Homework 1, Lab Discussion 1, Lecture Activity 2, Lecture Activity 3, Homework 2, Lab Discussion 2, Lecture Activity 4, Lecture Activity 5, Homework 3, Lab Discussion 3, Lecture Activity 6",0.75
CS 410,18,10,2,2,0.9053,"Quiz 1, Quiz 2",,,0,,0.75
CS 465,52,10,6,3,0.7844,"Studio, Workbooks, Studio, Workbooks, Studio, Workbooks",,,0,,0.75
CS 441,10,10,1,4,0.7959,Homework 1,30,7,0.8947,"Homework 1, Homework 2, Exam 1",0.75
CS 555,12,10,2,7,0.8886,"Homework 1, Homework 2",,,0,,0.75
CS 562,29,10,3,3,0.8753,"Paper Review 1, Paper Review 2, Paper Review 3",,,0,,0.75
CS 511,10,10,1,4,0.8957,Proposal Evaluation,,,0,,0.75
CS 470,1,10,1,8,1,Unspecified Graded Component 1,,,0,,0.75
CS 463,7,20,2,4,0.7836,"MP 1, MP 2",50,7,1,"MP 1, MP 2, Midterm 1, MP 3",0.75
CS 477,7,20,2,7,0.793,"Homework 2, Homework 3",,,0,,0.75
CS 538,7,20,2,4,0.7917,"Paper Presentation, Project Proposal",,,0,,0.75
CS 546,6,20,2,7,0.7758,"Project Lightning Talk, Midterm 1",90,16,1,"Project Lightning Talk, Midterm 1, Project Proposal, Project Midterm Progress Presentation, Midterm 2, Final Project Report",0.75
CS 424,12,20,3,5,0.8972,"Homework 1, Programming Assignment 1, Homework 2",,,0,,0.75
CS 444,9,20,2,4,0.76,"Programming Assignment 1, Quiz 1",80,13,0.7647,"Programming Assignment 1, Quiz 1, Programming Assignment 2, Programming Assignment 3, Quiz 2, Participation Extra Credit, Quiz 3, Programming Assignment 4",0.75
CS 222,26,20,6,2,0.8142,"Weekly Review 1, Weekly Review 2, Intro Assignment 1, Weekly Review 3, Project Proposal 1, Intro Assignment 2",20,2,1,"Weekly Review 1, Weekly Review 2, Intro Assignment 1, Weekly Review 3, Project Proposal 1, Intro Assignment 2",0.75
